sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,ecoregion,filename,photoDescription,photoCredit,photoDate,prelimID,age,burn_year
GRI5,1,342,500,Aspen,Flat,SUBXERIC-MESIC,NA,8.21,9.1,1425,21.17,86181.82,In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen and its understory by black spruce.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.795019,-145.076628,Tanana-Kuskokwim Lowlands,GRI5_Site.jpg,Site photo of GRI5 (GR-5).,Shalane Frost,10/2/2013,GR-5,Intermediate,1947
GRI6,0,0,495,Aspen,Flat,MESIC,NA,7.45,10.45,3466.67,19.93,59863.64,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand of black spruce and aspen.,"At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turnSW (right) on to access road for the training area. Continue 3.7 miles to the training area boundary. Follow road leading NW for 0.9 miles. Site is 140m NE of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.800401,-145.055548,Tanana-Kuskokwim Lowlands,GRI6_SitePano.jpg,Panoramic site photo of GRI6 (GR-3).,Shalane Frost,6/24/2015,GR-3,Intermediate,1947
GRI7,1,220,485,Aspen,Flat,SUBXERIC-MESIC,NA,7.68,7,1575,25.76,18909.09,"In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen, and it has an open black spruce understory.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the training area. Continue 3.7 miles to the training area boundary. Follow road leading NW for 1.1 miles. Site is 110m NE of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.801791,-145.061443,Tanana-Kuskokwim Lowlands,GRI7_SitePano.jpg,Panoramic site photo of GRI7 (GR-4).,Shalane Frost,6/24/2015,GR-4,Intermediate,1947
GRM1,2,303,448,Black Spruce,,MESIC,NA,0,0,55227.27,6058.33,14.43,"This is a mesic, black spruce site.",Park in pullout on Alaska Highway MP 1370.2. Site is 120m north.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Gerstle River,63.695772,-144.331784,Tanana-Kuskokwim Lowlands,,,,,TKN0118,Mature,Pre 1930
GRM2,0,0,493,Black Spruce,,MESIC,NA,0,0,20272.73,6491.67,37.48,"This mature black spruce stand is located adjacent to other intermediate Gerstle River ""GR"" sites, in an area that did not burn in the 1947 Gerstle fire.","This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 3.7 miles to the training area boundary. F","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Gerstle River,63.787641,-145.063916,Tanana-Kuskokwim Lowlands,GRM2_Site.jpg,Site photo of GRM2 (GR-10).,Shalane Frost,10/2/2013,GR-10,Mature,Pre 1930
GRM3,0,0,430,Black Spruce,,MESIC-SUBHYGRIC,NA,0,0,40000,1375,2.35,"This is a mesic-subhygric, black spruce site.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 0.85 miles a road leading NW, and park at junction. Site is 100m south. A trail exists directly across from junctio","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Gerstle River,63.813653,-144.953825,Tanana-Kuskokwim Lowlands,GRM3_SitePano.jpg,Panoramic site photo of GRM3 (TKN0120).,Shalane Frost,6/24/2015,TKN0120,Mature,Pre 1930
GRM4,0,0,429,Black Spruce,,SUBXERIC-MESIC,NA,0,0,54454.55,3866.67,10.67,"This is a subxeric-mesic, black spruce site.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 0.85 miles a road leading NW, and park at junction. Walk 90m on the road leading NW. Site is 40m NE.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Gerstle River,63.815131,-144.955467,Tanana-Kuskokwim Lowlands,GRM4_SitePano.jpg,Panoramic site photo of GRM4 (TKN0119).,Shalane Frost,6/24/2015,TKN0119,Mature,Pre 1930
GSI1,3,283,244,Black Spruce,Lowland,MESIC,NA,5.99,17.75,5825,9.81,23909.09,In 1966 this site burned in the Goldstream fire. It is now a black spruce stand.,Standard Creek Road mile 7.9. Follow trail leading SW for 140m. Site is 40m SE.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Goldstream,64.80004,-148.41375,Yukon-Tanana Uplands,,,,,GS-3,Intermediate,1966
GSI2,3,333,129,Black Spruce,Flat,SUBXERIC-MESIC,NA,5.95,14.24,441.67,0.37,10363.64,In 1966 this site burned in the Goldstream fire. It is now an open black spruce stand.,Standard Creek Road mile 8.1. Site is 75m west of road.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Goldstream,64.80255,-148.42039,Yukon-Tanana Uplands,,,,,GS-2,Intermediate,1966
GSI3,10,79,210,Birch,Toe Slope,MESIC,NA,6.15,9.3,6858.33,15.31,13181.82,In 1966 this site burned in the Goldstream fire. It is now a black spruce stand.,Standard Creek Road mile 11. Site is 140m north of road.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Goldstream,64.80951,-148.49298,Yukon-Tanana Uplands,,,,,GS-1,Intermediate,1966
GSM1,2,150,180,Black Spruce,,SUBHYGRIC,NA,0,0,28590.91,2100,3.45,This is a lowland black spruce site.,"At mile 5 of Standard Creek Road, turn east (left). Continue for 0.25 miles and park at intersection with old road leading south. Walk 225m down road leading south. Site is 90m west.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Goldstream,64.80258,-148.31676,Yukon-Tanana Uplands,GSM1_SitePano.jpg,Panoramic site photo of GSM1 (TKN0131L).,Shalane Frost,8/1/2013,TKN0131L,Mature,Pre 1930
GSM2,2,95,163,Black Spruce,,SUBXERIC,NA,0,0,18136.36,3191.67,17.28,"This is a xeric, black spruce site.","At mile 5 of Standard Creek Road, turn east (left). Continue for 0.25 miles and park at intersection with old road leading south. Walk 125m down road leading south. Site is 50m west.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Standard Creek,64.80334,-148.31574,Yukon-Tanana Uplands,GSM2_Site.jpg,Site photo of GSM2 (TKN0131).,Shalane Frost,9/2/2013,TKN0131,Mature,Pre 1930
GSM3,0,0,187,Black Spruce,,SUBHYGRIC,NA,0,0,10954.55,3450,4.91,"This is a subhygric, black spruce site. The organic layer at this here is over 3.5m deep.","This site is off Ballaine Road. Park either in pullout 300m SE of Goldstream Creek bridge, or on shoulder just west of it. Site is accessed by foot from trail at Ballaine Road, 150m west of Goldstream Creek bridge. Walk 570m along trail. Site is 120m wes","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Goldstream,64.916152,-147.832248,Yukon-Tanana Uplands,GSM3_SitePano.jpg,Panoramic site photo of GSM3 (TKN0040).,Shalane Frost,9/14/2014,TKN0040,Mature,Pre 1930
GSM4,16,24,497,Black Spruce,,SUBXERIC-MESIC,NA,0,0,13409.09,4108.33,9.85,"This is a subxeric-mesic, black spruce site.",Murphy Dome Road mile 12.5. Site is 420m NE of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Murphy Dome,64.942214,-148.25307,Yukon-Tanana Uplands,GSM4_SitePano.jpg,Panoramic site photo of GSM4 (TKN0043).,Shalane Frost,9/14/2014,TKN0043,Mature,Pre 1930
GSM5,9,326,431,Black Spruce,,SUBXERIC,NA,0,0,47272.73,2016.67,4.1,"This is a subxeric, black spruce site.","At MP 3.5 Elliott Highway, turn west (left) onto Old Murphy Dome road. Continue 0.3 miles. Site is 255m NW.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Murphy Dome,64.998563,-147.65685,Yukon-Tanana Uplands,GSM5_SitePano.jpg,Panoramic site photo of GSM5 (TKN0024).,Shalane Frost,9/14/2014,TKN0024,Mature,Pre 1930
HR1A,15,325,600,Black Spruce,,MESIC,1,0,0,0,0,26590.91,"This is a meteorological site near the crest of Helmer's Ridge, just west of the C4 basin, and at an elevation of approximately 610 meters","Traveling north from the confluence of Poker and Caribou Creeks, take a left at the ""T"" junction. From this point, the trail is only suitable for off-road vehicles. Immediately past the C4 bridge, the Helmer's Ridge trail branches off to the right. Follo",Precipitation data has been collected at this site since 1983. A sensor for air temperature was added in March 1992. The site was upgraded in June 2001 with the addition of a tipping bucket rain gage.  Various problems with the instrumentation have led t,CPCRW,65.170919,-147.543574,Yukon-Tanana Uplands,HR1A_SitePano.jpg,Panoramic site photo of HR1A (CPCRWY1).,Shalane Frost,5/21/2015,HR1A,Young,1999
LGI1,8,173,290,Black Spruce,Toe Slope,MESIC,NA,7,23.65,1100,2.35,5363.64,"In 1958 this site burned in the Livengood fire. It is now an open, mixed stand of black and white spruce.",Parking at MP 80.5 Elliott Highway (gravel pit on north side of road). Site is 300m south.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Livengood,65.42936,-148.86419,Ray Mountains,LGI1_SitePano.jpg,Panoramic site photo of LGI1 (LG-2).,Shalane Frost,9/17/2014,LG-2,Intermediate,1958
LGI2,12,144,330,Black Spruce,Toe Slope,SUBXERIC,NA,5.03,12.55,1758.33,11.26,3909.09,"In 1958 this site burned in the Livengood fire. It is now a mixed stand composed mainly of black spruce, with some birch and white spruce.",Elliott Highway MP 78.2. Site is 90m south.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Livengood,65.44649,-148.7609,Ray Mountains,LGI2_SitePano.jpg,Panoramic site photo of LGI2 (LG-3).,Shalane Frost,9/17/2014,LG-3,Intermediate,1958
MDI1,3,69,211,Birch,Side Slope,SUBXERIC-MESIC,NA,5.7,9.1,12108.33,29.41,4363.64,In 1958 this site burned in the Murphy Dome fire. It is now a black spruce stand with a birch component.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 1.25km. Site is 150m east of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.879074,-148.381474,Yukon-Tanana Uplands,MDI1_SitePano.jpg,Panoramic site photo of MDI1 (MD-5).,Shalane Frost,9/13/2014,MD-5,Intermediate,1958
MDI2,10,68,256,Birch,Side Slope,SUBXERIC,NA,6.25,6.7,9375,18.17,45090.91,In 1958 this site burned in the Murphy Dome fire. It is now a mixed black spruce / birch stand.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 790m. Site is 110m west of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.879249,-148.389008,Yukon-Tanana Uplands,MDI2_SitePano.jpg,Panoramic site photo of MDI2 (MD-7).,Shalane Frost,9/13/2014,MD-7,Intermediate,1958
MDI3,5,79,205,Birch,Side Slope,SUBXERIC-MESIC,NA,5.93,7.3,4258.33,27.8,818.18,In 1958 this site burned in the Murphy Dome fire. It is now a birch stand with black spruce component.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 840m. Site is 200m east of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.880388,-148.382724,Yukon-Tanana Uplands,MDI3_SitePano.jpg,Panoramic site photo of MDI3 (MD-6).,Shalane Frost,9/13/2014,MD-6,Intermediate,1958
MDI4,7,228,226,Hardwood,Side Slope,SUBXERIC,NA,5.95,4.8,12100,28.1,42454.55,"In 1958 this site burned in the Murphy Dome fire. It is now a dense, mixed stand composed mainly of black spruce with some birch and aspen.","Cache Creek Road, mile 9.3. Site is 110m south of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.882718,-148.355499,Yukon-Tanana Uplands,MDI4_Site.jpg,Site photo of MDI4 (MD-2).,Shalane Frost,7/1/2013,MD-2,Intermediate,1958
MDI5,10,354,226,Black Spruce,Toe Slope,MESIC,NA,5.35,20.8,1908.33,2.21,28363.64,In 1958 this site burned in the Murphy Dome fire. It is now an open black spruce stand.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 240m. Site is 140m west of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.882947,-148.398187,Yukon-Tanana Uplands,MDI5_SitePano.jpg,Panoramic site photo of MDI5 (MD-8).,Shalane Frost,9/13/2014,MD-8,Intermediate,1958
MDM1,3,84,197,Black Spruce,,MESIC,NA,0,0,77590.91,7991.67,13.93,"This mature black spruce stand is located adjacent to the other Murphy Dome ""MD"" sites, in an area that did not burn in the 1958 Murphy Dome fire.","Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 2km. Site is 150m east of road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Murphy Dome,64.871571,-148.37117,Yukon-Tanana Uplands,MDM1_Site.jpg,Site photo of MDM1 (MD-3).,Shalane Frost,6/29/2013,MD-3,Mature,Pre 1930
NRM1,3,60,197,Black Spruce,,MESIC-SUBHYGRIC,NA,0,0,44772.73,5008.33,6.25,This is a lowland black spruce site.,This site can be accessed via Nenana Ridge Road. Drive approximately 15 miles. Hike 1.7km from road down slope to site.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Nenana Ridge,64.60724,-148.82573,Yukon-Tanana Uplands,NRM1_SitePano.jpg,Panoramic site photo of NRM1 (Nenana Ridge Bottom).,Shalane Frost,9/10/2014,Nenana Ridge Bottom,Mature,Pre 1930
NRM2,0,0,220,Black Spruce,,SUBHYGRIC,NA,0,0,32863.64,983.33,1.33,"This is a mesic-subhygric, black spruce site.","Nenana Ridge Road, mile 3. Site is 140m east of road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Nenana Ridge,64.68328,-148.55992,Yukon-Tanana Uplands,NRM2_SitePano.jpg,Panoramic site photo of NRM2 (Nenana Ridge).,Shalane Frost,9/10/2014,Nenana Ridge,Mature,Pre 1930
SL1A,0,0,131,Mixed,,MESIC-SUBHYGRIC,1,0,0,0,0,32000,In the summer of 2001 the Survey line fire burned a section of the Tanana flats just south of BCEF.  This site was set up to match the rest of the floodplain successional sites except that instead of flooding the disturbance is fire.  Before this site wa,"This site is located on the south side of the Tanana River, just upstream of Crooked Creek. Follow the footpath approximately 400m to site.","SL1B was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Young"".",SW of Fairbanks on the Tanana River,64.654214,-148.281215,Tanana-Kuskokwim Lowlands,SL1A_SitePano.jpg,Panoramic site photo of SL1A (BCEFY2).,Shalane Frost,6/11/2014,SL1A,Young,2001
SL1B,0,0,130,Black Spruce,,SUBHYGRIC,1,0,0,0,0,24636.36,In the summer of 2001 the Survey Line fire burned a section of the Tanana flats just south of BCEF.  This site was set up to match the rest of the floodplain successional sites.  Before the burn this site was an open black spruce forest with a predominan,"This site is located on the south side of the Tanana River, just downstream of Crooked Creek.","SL1B was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Young"".",SW of Fairbanks on the Tanana River,64.648269,-148.286119,Tanana-Kuskokwim Lowlands,SL1B_SitePano.jpg,Panoramic site photo of SL1B (BCEFY1).,Shalane Frost,6/11/2014,SL1B,Young,2001
TRM1,5,54,270,Black Spruce,,SUBXERIC-MESIC,NA,0,0,25681.82,3041.67,3.11,"This is a subxeric-mesic, black spruce site.",Elliott Highway MP 35.1. Site is 140m west of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Elliott Highway before turnoff to Manley Hotsprings,65.25333,-148.13914,Yukon-Tanana Uplands,TRM1_SitePano.jpg,Panoramic site photo of TRM1 (TKN0139).,Shalane Frost,9/19/2015,TKN0139,Mature,Pre 1930
TRM2,0,0,134,Black Spruce,,SUBHYGRIC,NA,0,0,0,33.33,0.04,"This is a subhygric, black spruce site.",Site can be accessed via ATV by parking at the Tatalina River bridge (MP 44.8 Elliott Highway). Ride to the pipeline access road at MP 44.9 and follow it west 0.6 miles to pipeline. Ride SE toward Tatalina River. Cross River and continue  south on trail,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Tatalina River,65.31219,-148.338,Yukon-Tanana Uplands,TRM2_Site.jpg,Site photo of TRM2 (Tatalina River 1).,Shalane Frost,9/10/2013,Tatalina River 1,Mature,Pre 1930
TRM3,0,0,127,Black Spruce,,SUBHYGRIC,NA,0,0,59772.73,3141.67,5.07,"This is a subhygric, black spruce site.",Site can be accessed via ATV by parking at the Tatalina River bridge (MP 44.8 Elliott Highway). Ride to the pipeline access road at MP 44.9 and follow it west 0.6 miles to pipeline. Ride SE toward Tatalina River. Cross River and continue  south on trail,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Tatalina River,65.31458,-148.33536,Yukon-Tanana Uplands,,,,,Tatalina River 2,Mature,Pre 1930
TRM4,0,0,485,Black Spruce,,MESIC,NA,0,0,17136.36,4350,9.34,"This is a mesic, black spruce site.",Elliott Highway MP 51.9. Site is 150m west of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Elliott Highway before turnoff to Manley Hotsprings,65.40996,-148.23179,Ray Mountains,TRM4_Site.jpg,Site photo of TRM4 (TKN0137).,Shalane Frost,7/2/2013,TKN0137,Mature,Pre 1930
UP4A,15,310,489,Black Spruce,,SUBXERIC,NA,0,0,17772.73,7991.67,26.52,"This is a subxeric-mesic, black spruce site.",UP4A is accessed via the power line right-of-way on the north side of the Parks highway at MP 339.1. Approximately 600m up the right-of-way there is a trailing leading north to the side.,"This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",BCEF,64.768106,-148.29868,Yukon-Tanana Uplands,,,,,UP4A,Mature,Pre 1930
UP4B,30,315,401,Black Spruce,,SUBXERIC,NA,0,0,9681.82,3150,17.12,"This is a subxeric-mesic, black spruce site.","UP4B is located on the north side of the Parks Highway at MP 339.5. Perpendicular to the highway, the site is 170m downslope.","This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",BCEF,64.771601,-148.27359,Yukon-Tanana Uplands,UP4B_SitePano.jpg,Panoramic site photo of UP4B (BCEFM5).,Shalane Frost,5/18/2015,UP4B,Mature,Pre 1930
UP4C,5,100,615,Black Spruce,,SUBHYGRIC,NA,0,0,28181.82,958.33,1.16,"This is a subhygric, black spruce site.",UP4C is located about 200m north of the confluence of Caribou and Poker Creeks in CPCRW.,"This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",CPCRW,65.153934,-147.491333,Yukon-Tanana Uplands,UP4C_SitePano.jpg,Panoramic site photo of UP4C (CPCRWM1).,Shalane Frost,10/7/2014,UP4C,Mature,Pre 1930
UP4D,4,195,235,Black Spruce,,SUBXERIC,NA,0,0,14363.64,5458.33,21.41,"This is a subxeric, black spruce site.","Traveling north from the confluence of Poker and Caribou Creeks, take a left at the ""T"" junction. From this point, the trail is only suitable for off-road vehicles. Immediately past the C4 bridge, the Helmer's Ridge trail branches off to the right(NE). F","This study site was established in 2004 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",CPCRW,65.169054,-147.550557,Yukon-Tanana Uplands,UP4D_SitePano.jpg,Panoramic site photo of UP4D (CPCRWM2).,Shalane Frost,5/21/2015,UP4D,Mature,Pre 1930
WCM1,0,0,225,Black Spruce,,SUBHYGRIC,NA,0,0,15227.27,1183.33,1.82,"This is a subhygric, black spruce site.",Park at pipeline access road on Elliott Highway MP 20.75. Continue on ATV 2.9 miles to pipeline. Site is 200m SW.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Washington Creek,65.12465,-147.97308,Yukon-Tanana Uplands,,,,,Washington Creek 1,Mature,Pre 1930
WCM2,3,80,260,Black Spruce,,MESIC-SUBHYGRIC,NA,0,0,20090.91,1908.33,3.85,"This is a mesic-subhygric, black spruce site.",Park at pipeline access road on Elliott Highway MP 20.75. Continue on ATV 2.6 miles down access road to trail on NW side of road. Follow trail 0.5 miles. Site is 100m east.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Washington Creek,65.13634,-147.97132,Yukon-Tanana Uplands,,,,,Washington Creek 3,Mature,Pre 1930
WCM3,0,0,274,Black Spruce,,SUBHYGRIC,NA,0,0,43409.09,2366.67,6.66,"This is a mesic-subhygric, black spruce site.",Elliott Highway MP 18.7. Site is 150m east of road.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Washington Creek,65.15466,-147.86305,Yukon-Tanana Uplands,WCM3_Site.jpg,Site photo of WCM3 (TKN0015).,Shalane Frost,7/2/2013,TKN0015,Mature,Pre 1930
WCM4,1,164,584,Black Spruce,,SUBXERIC,NA,0,0,28090.91,9608.33,21.58,"This is a subxeric, black spruce site.",Park in pullout at MP 20 Elliott highway. Continue back south on the highway via ATV 0.4 miles to a trail branching north. Continue on this trail 0.9 miles. Site is 50m to east.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Washington Creek,65.167267,-147.89408,Yukon-Tanana Uplands,WCM4_Site.jpg,Site photo of WCM4 (TKN0012).,Shalane Frost,8/12/2013,TKN0012,Mature,Pre 1930
WDI1,3,234,242,Black Spruce,Toe Slope,MESIC,NA,6,12.4,558.33,0.56,18454.55,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.5 miles to valley bottom. Either ride or hike 0.7 miles to site.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.116602,-148.080849,Yukon-Tanana Uplands,WDI1_SitePano.jpg,Panoramic site photo of WDI1 (WD-1).,Shalane Frost,8/11/2015,WD-1,Intermediate,1971
WDI2,20,250,335,Birch,Side Slope,SUBXERIC,NA,7.22,6.3,3283.33,15.63,3363.64,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 710m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.124643,-148.07587,Yukon-Tanana Uplands,WDI2_SitePano.jpg,Panoramic site photo of WDI2 (WD-2).,Shalane Frost,8/12/2015,WD-2,Intermediate,1971
WDI3,15,250,343,Birch,Side Slope,SUBXERIC,NA,5.87,7.9,2208.33,5.82,3181.82,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand with some birch.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 610m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.125453,-148.076713,Yukon-Tanana Uplands,WDI3_SitePano.jpg,Panoramic site photo of WDI3 (WD-3).,Shalane Frost,8/12/2015,WD-3,Intermediate,1971
WDI4,25,255,344,Birch,Side Slope,SUBXERIC-MESIC,NA,6.07,10.4,3016.67,12.54,1954.55,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 510m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.126346,-148.077367,Yukon-Tanana Uplands,WDI4_SitePano.jpg,Panoramic site photo of WDI4 (WD-4).,Shalane Frost,8/12/2015,WD-4,Intermediate,1971
WDI5,0,158,500,Aspen,Summit,SUBXERIC,NA,6.38,5,1800,9.58,10909.09,In 1971 this site burned in the Wickersham Dome fire. It is now a mixed aspen / black spruce stand with some birch.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 2.4 miles SE. Site is 180m SW.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.145285,-148.018896,Yukon-Tanana Uplands,WDI5_SitePano.jpg,Panoramic site photo of WDI5 (WD-6).,Shalane Frost,7/15/2015,WD-6,Intermediate,1971
WDI6,22,224,520,Aspen,Side Slope,SUBXERIC,NA,5.76,5.2,6383.33,26.37,3863.64,In 1971 this site burned in the Wickersham Dome fire. It is now an aspen stand.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 2  miles SE. Site is 170m SW.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.148679,-148.026427,Yukon-Tanana Uplands,WDI6_SitePano.jpg,Panoramic site photo of WDI6 (WD-8).,Shalane Frost,7/15/2015,WD-8,Intermediate,1971
YRM1,7,230,318,Black Spruce,,SUBXERIC-MESIC,NA,0,0,20090.91,5050,9.11,"This is a subxeric-mesic, black spruce site.","Dalton Highway, MP 11.3. Site is 120m NW from road. Parking approximately 300m south along road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.","Dalton Hwy, south of Yukon River",65.56605,-148.92284,Ray Mountains,,,,,TKN0148,Mature,Pre 1930
